0,Date,Product_ID,Demand,Inventory
0,01-06-1982,P1,63,5500
1,02-06-1982,P1,73,5437
2,03-06-1982,P1,82,5376
3,04-06-1982,P1,86,5226
4,05-06-1982,P1,68,5050
5,06-06-1982,P1,67,4977
6,07-06-1982,P1,77,4780
7,08-06-1982,P1,56,4700
8,09-06-1982,P1,84,4626
9,10-06-1982,P1,97,4545
10,11-06-1982,P1,81,4396
11,12-06-1982,P1,82,4244
12,13-06-1982,P1,51,4117
13,14-06-1982,P1,65,4013
14,15-06-1982,P1,87,3801
15,16-06-1982,P1,79,3644
16,17-06-1982,P1,58,3532
17,18-06-1982,P1,84,3486
18,19-06-1982,P1,71,3270
19,20-06-1982,P1,98,3087
20,21-06-1982,P1,82,2935
21,22-06-1982,P1,84,2808
22,23-06-1982,P1,65,2699
23,24-06-1982,P1,51,2610
24,25-06-1982,P1,71,2568
25,26-06-1982,P1,78,2479
26,27-06-1982,P1,50,2420
27,28-06-1982,P1,79,2355
28,29-06-1982,P1,64,2243
29,30-06-1982,P1,78,2123
30,01-07-1982,P1,68,2053
31,02-07-1982,P1,73,1911
32,03-07-1982,P1,81,1764
33,04-07-1982,P1,92,1573
34,05-07-1982,P1,78,1464
35,06-07-1982,P1,96,1383
36,07-07-1982,P1,78,1287
37,08-07-1982,P1,95,1197
38,09-07-1982,P1,72,989
39,10-07-1982,P1,54,866
40,11-07-1982,P1,100,800
41,12-07-1982,P1,69,629
42,13-07-1982,P1,87,590
43,14-07-1982,P1,60,476
44,15-07-1982,P1,94,373
45,16-07-1982,P1,53,165
46,17-07-1982,P1,52,49
47,18-07-1982,P1,52,0
48,19-07-1982,P1,100,0
49,20-07-1982,P1,77,0
50,21-07-1982,P1,60,0
51,22-07-1982,P1,54,0
52,23-07-1982,P1,85,0
53,24-07-1982,P1,100,0
54,25-07-1982,P1,55,0
55,26-07-1982,P1,97,0
56,27-07-1982,P1,53,0
57,28-07-1982,P1,89,0
58,29-07-1982,P1,95,0
59,30-07-1982,P1,79,0
60,31-07-1982,P1,89,0
61,01-08-1982,P1,77,0
62,02-08-1982,P1,88,5500
63,03-08-1982,P1,80,5412
64,04-08-1982,P1,85,5369
65,05-08-1982,P1,71,5223
66,06-08-1982,P1,67,5065
67,07-08-1982,P1,71,4978
68,08-08-1982,P1,57,4776
69,09-08-1982,P1,83,4720
70,10-08-1982,P1,80,4599
71,11-08-1982,P1,100,4549
72,12-08-1982,P1,82,4393
73,13-08-1982,P1,61,4243
74,14-08-1982,P1,65,4138
75,15-08-1982,P1,69,3999
76,16-08-1982,P1,64,3797
77,17-08-1982,P1,66,3667
78,18-08-1982,P1,55,3545
79,19-08-1982,P1,98,3489
80,20-08-1982,P1,99,3256
81,21-08-1982,P1,81,3059
82,22-08-1982,P1,67,2952
83,23-08-1982,P1,78,2823
84,24-08-1982,P1,99,2705
85,25-08-1982,P1,65,2576
86,26-08-1982,P1,62,2554
87,27-08-1982,P1,71,2488
88,28-08-1982,P1,54,2427
89,29-08-1982,P1,70,2351
90,30-08-1982,P1,96,2252
91,31-08-1982,P1,94,2091
92,01-09-1982,P1,94,2037
93,02-09-1982,P1,80,1885
94,03-09-1982,P1,55,1757
95,04-09-1982,P1,73,1599
96,05-09-1982,P1,76,1483
97,06-09-1982,P1,86,1385
98,07-09-1982,P1,98,1297
99,08-09-1982,P1,54,1177
100,09-09-1982,P1,56,1030
101,10-09-1982,P1,82,882
102,11-09-1982,P1,56,772
103,12-09-1982,P1,65,673
104,13-09-1982,P1,79,594
105,14-09-1982,P1,52,484
106,15-09-1982,P1,65,381
107,16-09-1982,P1,64,194
108,17-09-1982,P1,92,38
109,18-09-1982,P1,56,0
110,19-09-1982,P1,64,0
111,20-09-1982,P1,56,0
112,21-09-1982,P1,79,0
113,22-09-1982,P1,96,0
114,23-09-1982,P1,88,0
115,24-09-1982,P1,54,0
116,25-09-1982,P1,62,0
117,26-09-1982,P1,57,0
118,27-09-1982,P1,82,0
119,28-09-1982,P1,55,0
120,29-09-1982,P1,64,0
121,30-09-1982,P1,76,5500
122,01-10-1982,P1,69,5424
123,02-10-1982,P1,83,5380
124,03-10-1982,P1,90,5225
125,04-10-1982,P1,91,5046
126,05-10-1982,P1,50,4954
127,06-10-1982,P1,80,4797
128,07-10-1982,P1,91,4697
129,08-10-1982,P1,92,4591
130,09-10-1982,P1,95,4537
131,10-10-1982,P1,85,4398
132,11-10-1982,P1,88,4240
133,12-10-1982,P1,74,4111
134,13-10-1982,P1,99,3990
135,14-10-1982,P1,62,3767
136,15-10-1982,P1,71,3669
137,16-10-1982,P1,67,3540
138,17-10-1982,P1,51,3477
139,18-10-1982,P1,71,3303
140,19-10-1982,P1,76,3087
141,20-10-1982,P1,54,2957
142,21-10-1982,P1,94,2836
143,22-10-1982,P1,60,2689
144,23-10-1982,P1,79,2615
145,24-10-1982,P1,69,2540
146,25-10-1982,P1,93,2481
147,26-10-1982,P1,69,2405
148,27-10-1982,P1,77,2336
149,28-10-1982,P1,66,2245
150,29-10-1982,P1,78,2121
